year,journal,baseline_if,filtered_rif,weighted_rif,stability_threshold,model
2018,Journal of the National Comprehensive Cancer Network,2.1277,0.7872,1.2854,1.0,node2vec
2018,Kidney International,0.809,0.3933,0.6195,1.0,node2vec
2018,Knee Surgery Sports Traumatology Arthroscopy,0.6508,0.3651,0.5003,1.0,node2vec
2018,LWT,0.3824,0.1765,0.3111,1.0,node2vec
2018,Lara D. Veeken,0.56,0.22,0.4364,1.0,node2vec
2018,Leukemia,0.8421,0.4316,0.713,1.0,node2vec
2018,Lipids in Health and Disease,0.3,0.1,0.1895,1.0,node2vec
2018,Liver International,1.1562,0.7188,0.9839,1.0,node2vec
2018,Liver Transplantation,0.7727,0.4091,0.6433,1.0,node2vec
2018,Lung Cancer,1.1905,0.5,0.9868,1.0,node2vec
2018,MMWR Morbidity and Mortality Weekly Report,6.5806,4.8145,5.8007,1.0,node2vec
2018,Magnetic Resonance in Medicine,1.0192,0.5,0.8095,1.0,node2vec
2018,Malaria Journal,0.6716,0.3582,0.5146,1.0,node2vec
2018,Materials Science and Engineering C,0.3871,0.0968,0.2056,1.0,node2vec
2018,Mayo Clinic Proceedings,0.3846,0.1538,0.2772,1.0,node2vec
2018,Medical Education,0.4,0.0,0.2643,1.0,node2vec
2018,Medical Physics,1.4,0.5714,1.0091,1.0,node2vec
2018,Medical Teacher,0.84,0.76,0.8202,1.0,node2vec
2018,Medicine,0.3663,0.0693,0.2057,1.0,node2vec
2018,Medicine & Science in Sports & Exercise,0.7571,0.2571,0.5318,1.0,node2vec
2018,Menopause The Journal of The North American Menopause Society,1.0,0.4545,0.7282,1.0,node2vec
2018,Modern Pathology,1.5122,0.7073,1.1778,1.0,node2vec
